INTERVAL_SECONDS=0.5,CPU_CORE_COUNT=2,MEMORY_TOTAL=1927.29,SWAP_TOTAL=2048.00,UNIX_TIMESTAMP_START_TIME=1719395327.4497578,APP_VERSION=0.5.1
SECONDS_SINCE_START,MEMORY_USED,MEMORY_FREE,MEMORY_AVAILABLE,CPU_USAGE_TOTAL,CPU_USAGE_PER_CORE
0.18,397.82,1028.71,1529.47,0.00,0.00;0.00
0.68,398.67,1027.88,1528.62,40.81,43.75;37.88
1.18,398.67,1027.88,1528.62,0.00,0.00;0.00
1.68,398.67,1027.88,1528.62,3.00,4.00;2.00
2.18,398.67,1027.88,1528.62,2.00,2.00;2.00
2.68,398.67,1027.88,1528.62,3.92,3.92;3.92
3.18,398.67,1027.88,1528.62,0.00,0.00;0.00
3.68,398.66,1027.88,1528.62,0.00,0.00;0.00
4.18,398.66,1027.88,1528.62,1.00,0.00;2.00
4.68,398.66,1027.88,1528.62,1.96,0.00;3.92
5.18,398.66,1027.88,1528.62,1.00,2.00;0.00
5.68,398.66,1027.88,1528.62,2.96,3.92;2.00
6.18,398.66,1027.88,1528.62,0.00,0.00;0.00
6.68,398.66,1027.88,1528.62,3.00,2.00;4.00
7.18,398.66,1027.88,1528.62,1.00,2.00;0.00
7.68,398.66,1027.88,1528.62,1.02,0.00;2.04
8.18,398.66,1027.88,1528.62,1.98,1.96;2.00
8.68,398.66,1027.88,1528.62,2.96,3.92;2.00
9.18,398.66,1027.88,1528.62,1.00,2.00;0.00
9.68,398.66,1027.88,1528.62,3.92,3.92;3.92
10.18,398.66,1027.88,1528.62,2.96,3.92;2.00
10.68,398.23,1028.31,1529.06,27.55,28.57;26.53
11.18,399.68,1026.86,1527.61,58.18,67.35;49.02
11.68,416.86,1009.66,1510.43,86.98,76.00;97.96
12.18,417.11,1009.42,1510.18,64.35,34.69;94.00
12.68,417.11,1009.42,1510.18,12.92,18.00;7.84
13.18,417.11,1009.42,1510.18,1.98,1.96;2.00
13.68,417.11,1009.42,1510.18,3.04,4.08;2.00
14.18,417.11,1009.42,1510.18,1.00,0.00;2.00
14.68,417.11,1009.42,1510.18,3.94,2.00;5.88
15.18,417.11,1009.42,1510.18,1.00,0.00;2.00
15.68,417.11,1009.42,1510.18,2.88,5.77;0.00
