INTERVAL_SECONDS=0.5,CPU_CORE_COUNT=2,MEMORY_TOTAL=1927.29,SWAP_TOTAL=2048.00,UNIX_TIMESTAMP_START_TIME=1719415184.1671834,APP_VERSION=0.5.1
SECONDS_SINCE_START,MEMORY_USED,MEMORY_FREE,MEMORY_AVAILABLE,CPU_USAGE_TOTAL,CPU_USAGE_PER_CORE
0.17,398.03,994.38,1529.26,0.00,0.00;0.00
0.67,398.82,993.56,1528.46,41.62,38.46;44.78
1.17,398.82,993.56,1528.46,3.92,3.92;3.92
1.67,398.82,993.56,1528.46,1.00,0.00;2.00
2.17,398.82,993.56,1528.46,1.96,0.00;3.92
2.67,398.82,993.56,1528.46,0.00,0.00;0.00
3.17,398.82,993.56,1528.46,3.96,3.92;4.00
3.67,398.82,993.56,1528.46,0.00,0.00;0.00
4.17,398.82,993.56,1528.46,15.14,14.29;16.00
4.67,398.82,993.56,1528.46,1.98,2.00;1.96
5.17,398.82,993.56,1528.46,1.00,2.00;0.00
5.67,398.82,993.56,1528.46,1.00,2.00;0.00
6.17,398.82,993.56,1528.46,2.88,0.00;5.77
6.67,398.82,993.56,1528.47,2.00,2.00;2.00
7.17,398.82,993.56,1528.47,1.00,2.00;0.00
7.67,398.82,993.56,1528.47,0.98,0.00;1.96
8.17,398.82,993.56,1528.47,3.02,2.04;4.00
8.67,398.82,993.56,1528.47,0.00,0.00;0.00
9.17,398.82,993.56,1528.47,2.02,2.00;2.04
9.67,398.82,993.56,1528.47,1.00,2.00;0.00
10.17,398.82,993.56,1528.47,2.98,3.92;2.04
10.68,398.81,993.56,1528.48,25.77,26.53;25.00
11.17,415.60,976.78,1511.69,61.88,59.18;64.58
11.67,416.55,975.83,1510.73,24.22,22.45;26.00
12.17,416.55,975.83,1510.73,5.00,8.00;2.00
12.67,416.55,975.83,1510.73,3.00,4.00;2.00
13.17,416.55,975.83,1510.73,2.02,2.04;2.00
13.67,416.55,975.83,1510.73,1.00,0.00;2.00
14.17,416.55,975.83,1510.73,6.83,7.55;6.12
14.67,416.55,975.83,1510.73,3.06,6.12;0.00
15.17,416.55,975.83,1510.74,2.96,2.00;3.92
15.67,416.55,975.83,1510.74,0.98,1.96;0.00
16.17,416.55,975.83,1510.74,13.77,2.04;25.49
16.67,416.55,975.83,1510.74,27.49,2.04;52.94
17.17,416.55,975.83,1510.74,28.55,8.16;48.94
17.67,416.54,975.83,1510.74,29.85,25.00;34.69
18.17,416.54,975.83,1510.74,21.77,10.20;33.33
18.67,416.54,975.83,1510.75,19.04,4.08;34.00
19.17,416.54,975.83,1510.75,16.62,4.08;29.17
19.67,416.54,975.83,1510.75,18.31,3.92;32.69
20.17,416.54,975.83,1510.75,19.04,4.08;34.00
20.67,416.54,975.83,1510.75,26.96,3.92;50.00
21.17,416.54,975.83,1510.75,24.00,6.00;42.00
21.67,416.54,975.83,1510.75,0.00,0.00;0.00
22.17,416.54,975.83,1510.75,2.96,3.92;2.00
22.67,416.54,975.83,1510.75,1.00,0.00;2.00
23.17,416.54,975.83,1510.75,2.00,2.00;2.00
23.67,416.54,975.83,1510.75,1.00,2.00;0.00
24.17,416.54,975.83,1510.75,1.02,0.00;2.04
24.67,416.54,975.83,1510.75,1.92,3.85;0.00
25.17,416.54,975.83,1510.75,3.94,5.88;2.00
25.67,416.54,975.83,1510.75,1.00,2.00;0.00
26.17,416.54,975.83,1510.75,2.00,2.00;2.00
26.67,416.53,975.83,1510.76,1.00,0.00;2.00
27.17,416.53,975.83,1510.76,1.96,3.92;0.00
27.67,416.53,975.83,1510.76,2.00,2.00;2.00
28.17,416.53,975.83,1510.76,1.96,0.00;3.92
28.67,416.53,975.83,1510.76,0.98,0.00;1.96
29.17,416.53,975.83,1510.76,3.96,4.00;3.92
29.67,416.53,975.83,1510.76,0.00,0.00;0.00
30.17,416.53,975.83,1510.76,4.85,5.77;3.92
30.67,416.53,975.83,1510.76,0.00,0.00;0.00
31.17,416.53,975.83,1510.76,3.96,4.00;3.92
31.67,416.27,976.07,1511.01,23.47,24.49;22.45
32.17,399.29,993.05,1528.00,56.51,62.00;51.02
32.67,399.81,992.53,1527.48,19.20,18.00;20.41
33.17,399.81,992.53,1527.48,2.00,2.00;2.00
33.67,399.81,992.53,1527.48,1.00,2.00;0.00
34.17,399.81,992.53,1527.48,3.00,2.00;4.00
34.67,399.81,992.53,1527.48,1.96,0.00;3.92
35.17,399.81,992.53,1527.48,1.96,3.92;0.00
35.67,399.81,992.53,1527.48,0.98,0.00;1.96
36.17,399.81,992.53,1527.48,2.98,3.92;2.04
36.67,399.81,992.53,1527.48,0.98,0.00;1.96
37.17,399.81,992.53,1527.48,3.92,1.96;5.88
37.67,399.81,992.53,1527.48,1.00,0.00;2.00
38.17,399.81,992.53,1527.48,2.02,2.04;2.00
38.67,399.81,992.53,1527.48,0.98,1.96;0.00
39.17,399.81,992.53,1527.48,3.96,4.00;3.92
39.67,399.81,992.53,1527.48,0.00,0.00;0.00
40.17,399.81,992.53,1527.48,3.00,4.00;2.00
40.67,399.81,992.53,1527.48,0.98,1.96;0.00
41.17,399.81,992.53,1527.48,1.00,2.00;0.00
41.67,399.81,992.53,1527.48,0.98,0.00;1.96
42.17,399.81,992.53,1527.48,2.96,3.92;2.00
42.67,399.56,992.78,1527.72,27.31,30.61;24.00
43.17,398.82,993.52,1528.46,54.43,66.00;42.86
