INTERVAL_SECONDS=0.5,CPU_CORE_COUNT=2,MEMORY_TOTAL=1927.29,SWAP_TOTAL=2048.00,UNIX_TIMESTAMP_START_TIME=1719415079.9447293,APP_VERSION=0.5.1
SECONDS_SINCE_START,MEMORY_USED,MEMORY_FREE,MEMORY_AVAILABLE,CPU_USAGE_TOTAL,CPU_USAGE_PER_CORE
0.18,398.44,994.58,1528.84,0.00,0.00;0.00
0.68,398.99,994.03,1528.29,39.71,37.88;41.54
1.18,398.99,994.03,1528.29,5.10,6.12;4.08
1.68,398.99,994.03,1528.29,5.00,8.00;2.00
2.18,398.99,994.03,1528.29,4.00,6.00;2.00
2.68,398.99,994.03,1528.29,1.00,2.00;0.00
3.18,398.99,994.03,1528.29,1.00,0.00;2.00
3.68,399.24,993.78,1528.05,2.00,2.00;2.00
4.18,399.23,993.78,1528.06,4.00,2.00;6.00
4.68,399.23,993.78,1528.06,2.94,5.88;0.00
5.18,399.23,993.78,1528.06,2.96,3.92;2.00
5.68,399.23,993.78,1528.06,1.00,0.00;2.00
6.18,399.23,993.78,1528.06,1.96,3.92;0.00
6.68,399.23,993.78,1528.06,4.04,4.00;4.08
7.18,399.23,993.78,1528.06,7.14,6.12;8.16
7.68,399.23,993.78,1528.06,6.00,10.00;2.00
8.18,399.23,993.78,1528.06,2.96,2.00;3.92
8.68,399.23,993.78,1528.06,2.96,3.92;2.00
9.18,399.23,993.78,1528.06,2.02,2.04;2.00
9.68,399.23,993.78,1528.06,0.00,0.00;0.00
10.18,399.23,993.78,1528.06,3.02,2.04;4.00
10.68,399.25,993.76,1528.04,26.00,26.00;26.00
11.18,401.43,991.55,1525.86,77.54,73.08;82.00
11.68,418.16,974.82,1509.12,90.74,90.00;91.49
12.18,418.16,974.82,1509.12,33.58,29.17;38.00
12.68,418.16,974.82,1509.12,2.00,2.00;2.00
13.18,418.16,974.82,1509.12,2.98,2.04;3.92
13.68,418.16,974.82,1509.12,0.98,0.00;1.96
14.18,418.16,974.82,1509.12,1.96,0.00;3.92
14.68,418.16,974.82,1509.12,0.98,1.96;0.00
15.18,418.16,974.82,1509.12,2.00,4.00;0.00
15.68,418.16,974.82,1509.12,1.00,2.00;0.00
16.18,418.16,974.82,1509.12,12.24,18.37;6.12
16.68,418.16,974.82,1509.12,56.00,20.00;92.00
17.18,418.16,974.82,1509.12,59.37,35.42;83.33
17.68,418.16,974.82,1509.12,59.82,62.50;57.14
18.18,418.16,974.82,1509.12,64.95,75.00;54.90
18.68,418.16,974.82,1509.12,69.23,64.00;74.47
19.18,418.16,974.82,1509.12,68.67,67.35;70.00
19.68,418.16,974.82,1509.12,61.42,63.27;59.57
20.18,418.16,974.82,1509.12,61.08,54.17;68.00
20.68,418.16,974.82,1509.12,59.96,72.00;47.92
21.18,418.15,974.82,1509.14,57.08,93.75;20.41
21.68,418.15,974.82,1509.14,9.00,18.00;0.00
22.18,418.15,974.82,1509.14,1.00,2.00;0.00
22.68,418.15,974.82,1509.14,1.96,0.00;3.92
23.18,418.15,974.82,1509.14,1.96,3.92;0.00
23.68,418.15,974.82,1509.14,1.00,0.00;2.00
24.18,418.15,974.82,1509.14,1.00,2.00;0.00
24.68,418.15,974.82,1509.14,1.00,2.00;0.00
25.18,418.15,974.82,1509.14,3.92,3.92;3.92
25.68,418.15,974.82,1509.14,1.02,2.04;0.00
26.18,418.15,974.82,1509.14,3.00,2.00;4.00
26.68,418.15,974.82,1509.14,1.92,3.85;0.00
27.18,418.15,974.82,1509.14,1.00,2.00;0.00
27.68,418.15,974.82,1509.14,2.00,2.00;2.00
28.18,418.15,974.82,1509.14,2.00,2.00;2.00
28.68,418.15,974.82,1509.14,1.00,0.00;2.00
29.18,418.15,974.82,1509.14,1.00,2.00;0.00
29.68,418.15,974.82,1509.14,19.00,20.00;18.00
30.18,418.15,974.82,1509.14,0.00,0.00;0.00
30.68,418.15,974.82,1509.14,1.98,2.00;1.96
31.18,418.38,974.57,1508.91,3.96,5.88;2.04
31.68,418.13,974.82,1509.16,3.88,3.92;3.85
32.18,417.85,975.09,1509.43,52.03,59.62;44.44
32.68,399.66,993.03,1527.62,75.55,85.71;65.38
33.18,399.91,992.78,1527.38,43.39,52.08;34.69
33.68,399.91,992.78,1527.38,1.00,2.00;0.00
34.18,399.91,992.78,1527.38,2.00,2.00;2.00
34.68,399.91,992.78,1527.38,1.96,3.92;0.00
35.18,399.91,992.78,1527.38,2.96,2.00;3.92
35.68,399.91,992.78,1527.38,1.02,0.00;2.04
36.18,399.91,992.78,1527.38,3.92,3.92;3.92
36.68,399.91,992.78,1527.38,1.00,2.00;0.00
37.18,399.91,992.78,1527.38,1.00,2.00;0.00
37.68,399.91,992.78,1527.38,1.00,0.00;2.00
38.18,399.91,992.78,1527.38,2.00,2.00;2.00
38.68,399.91,992.78,1527.38,2.00,2.00;2.00
39.18,399.91,992.78,1527.38,2.96,2.00;3.92
39.68,399.91,992.78,1527.38,1.00,2.00;0.00
40.18,399.91,992.78,1527.38,1.96,0.00;3.92
40.68,399.91,992.78,1527.38,1.00,2.00;0.00
41.18,399.91,992.78,1527.38,2.96,3.92;2.00
41.68,399.91,992.78,1527.38,1.00,0.00;2.00
42.18,399.91,992.78,1527.38,2.00,2.00;2.00
42.68,399.91,992.78,1527.38,1.00,2.00;0.00
43.18,398.93,993.77,1528.36,18.00,18.00;18.00
43.68,399.63,993.06,1527.65,40.47,46.94;34.00
44.18,399.65,993.03,1527.64,55.65,65.31;46.00
