INTERVAL_SECONDS=0.5,CPU_CORE_COUNT=2,MEMORY_TOTAL=1927.29,SWAP_TOTAL=2048.00,UNIX_TIMESTAMP_START_TIME=1719393927.1177983,APP_VERSION=0.5.1
SECONDS_SINCE_START,MEMORY_USED,MEMORY_FREE,MEMORY_AVAILABLE,CPU_USAGE_TOTAL,CPU_USAGE_PER_CORE
0.17,397.65,1029.12,1529.63,0.00,0.00;0.00
0.67,398.41,1028.35,1528.87,41.18,46.97;35.38
1.17,398.41,1028.35,1528.87,3.92,3.92;3.92
1.67,398.41,1028.35,1528.88,0.98,1.96;0.00
2.17,398.41,1028.35,1528.88,2.00,4.00;0.00
2.67,398.41,1028.35,1528.88,0.00,0.00;0.00
3.17,398.41,1028.35,1528.88,1.00,0.00;2.00
3.67,398.41,1028.35,1528.88,2.00,2.00;2.00
4.17,398.41,1028.35,1528.88,7.96,12.00;3.92
4.67,398.41,1028.35,1528.88,0.00,0.00;0.00
5.17,398.41,1028.35,1528.88,0.00,0.00;0.00
5.67,398.41,1028.35,1528.88,2.96,3.92;2.00
6.17,398.41,1028.35,1528.88,1.00,2.00;0.00
6.67,398.41,1028.35,1528.88,7.77,4.00;11.54
7.17,398.41,1028.35,1528.88,6.12,6.00;6.25
7.67,398.41,1028.35,1528.88,3.04,4.08;2.00
8.17,398.41,1028.35,1528.88,4.85,5.77;3.92
8.67,398.41,1028.35,1528.88,1.98,1.96;2.00
9.17,398.41,1028.35,1528.88,2.02,2.04;2.00
9.67,398.41,1028.35,1528.88,0.98,1.96;0.00
10.17,398.41,1028.35,1528.88,2.02,2.04;2.00
10.67,397.91,1028.84,1529.38,28.43,29.41;27.45
11.17,414.82,1011.93,1512.46,59.67,71.43;47.92
11.67,416.11,1010.63,1511.18,32.67,33.33;32.00
12.17,416.11,1010.63,1511.18,20.59,27.45;13.73
12.67,416.10,1010.63,1511.18,18.67,14.89;22.45
13.17,416.10,1010.63,1511.18,21.21,40.38;2.04
13.67,416.10,1010.63,1511.18,17.02,32.00;2.04
14.17,416.10,1010.63,1511.18,18.00,4.00;32.00
14.67,416.10,1010.63,1511.18,17.02,2.04;32.00
15.17,416.10,1010.63,1511.18,23.43,4.00;42.86
15.67,416.10,1010.63,1511.18,28.00,4.00;52.00
16.17,416.10,1010.63,1511.18,28.00,4.00;52.00
16.67,416.10,1010.63,1511.18,25.49,0.00;50.98
17.17,416.10,1010.63,1511.18,28.00,6.00;50.00
17.67,416.10,1010.63,1511.18,28.90,5.88;51.92
18.17,416.10,1010.63,1511.18,27.00,4.00;50.00
18.67,416.10,1010.63,1511.18,26.49,4.00;48.98
19.17,416.10,1010.63,1511.18,34.43,12.00;56.86
19.67,416.10,1010.63,1511.18,20.06,6.12;34.00
20.17,416.10,1010.63,1511.18,18.94,5.88;32.00
20.67,416.10,1010.63,1511.18,23.02,2.04;44.00
21.17,416.10,1010.63,1511.18,27.28,42.31;12.24
21.67,416.09,1010.63,1511.19,18.35,2.08;34.62
22.17,416.09,1010.63,1511.19,18.31,6.00;30.61
22.67,416.09,1010.63,1511.19,15.00,0.00;30.00
23.17,416.09,1010.63,1511.19,18.31,6.00;30.61
23.67,416.09,1010.63,1511.19,15.69,0.00;31.37
24.17,416.09,1010.63,1511.19,17.29,6.00;28.57
24.67,416.09,1010.63,1511.20,18.96,34.00;3.92
25.17,416.09,1010.63,1511.20,18.79,29.41;8.16
25.67,416.09,1010.63,1511.20,16.02,2.04;30.00
26.17,416.09,1010.63,1511.20,16.65,31.25;2.04
26.67,416.09,1010.63,1511.20,15.31,2.04;28.57
27.17,416.09,1010.63,1511.20,22.33,5.88;38.78
27.67,416.09,1010.63,1511.20,25.96,0.00;51.92
28.17,416.09,1010.63,1511.20,28.57,6.12;51.02
28.67,416.09,1010.63,1511.20,27.00,2.00;52.00
29.17,416.09,1010.63,1511.20,26.54,27.08;26.00
29.67,416.09,1010.63,1511.20,26.53,2.04;51.02
30.17,416.09,1010.63,1511.20,20.31,6.00;34.62
30.67,416.09,1010.63,1511.20,18.37,2.04;34.69
31.17,416.09,1010.63,1511.20,28.94,5.88;52.00
31.67,415.28,1011.43,1512.01,39.80,22.45;57.14
32.17,399.10,1027.61,1528.19,57.14,59.18;55.10
32.67,399.07,1027.64,1528.21,29.33,32.65;26.00
33.17,399.07,1027.64,1528.21,2.00,2.00;2.00
33.67,399.07,1027.64,1528.21,1.00,2.00;0.00
34.17,399.07,1027.64,1528.21,5.04,6.00;4.08
34.67,399.07,1027.64,1528.21,1.00,0.00;2.00
35.17,399.07,1027.64,1528.21,2.94,3.92;1.96
35.67,399.07,1027.64,1528.21,1.00,2.00;0.00
36.17,399.07,1027.64,1528.21,2.00,2.00;2.00
36.67,399.07,1027.64,1528.21,2.96,2.00;3.92
37.17,399.07,1027.64,1528.21,3.96,3.92;4.00
37.67,399.07,1027.64,1528.21,1.00,2.00;0.00
38.17,399.07,1027.64,1528.21,4.85,3.92;5.77
38.67,399.07,1027.64,1528.21,1.98,1.96;2.00
39.17,399.07,1027.64,1528.21,1.00,0.00;2.00
39.67,399.07,1027.64,1528.21,1.00,2.00;0.00
40.17,399.07,1027.64,1528.21,2.96,2.00;3.92
40.67,399.07,1027.64,1528.21,1.00,2.00;0.00
41.17,399.07,1027.64,1528.21,2.98,3.92;2.04
41.67,399.05,1027.64,1528.23,3.96,4.00;3.92
42.17,399.05,1027.64,1528.23,1.02,0.00;2.04
42.67,398.19,1028.38,1529.10,24.69,22.45;26.92
43.17,397.68,1028.89,1529.61,53.47,60.00;46.94
