INTERVAL_SECONDS=0.5,CPU_CORE_COUNT=2,MEMORY_TOTAL=1927.29,SWAP_TOTAL=2048.00,UNIX_TIMESTAMP_START_TIME=1719413613.6462622,APP_VERSION=0.5.1
SECONDS_SINCE_START,MEMORY_USED,MEMORY_FREE,MEMORY_AVAILABLE,CPU_USAGE_TOTAL,CPU_USAGE_PER_CORE
0.19,398.95,994.64,1528.33,0.00,0.00;0.00
0.68,399.01,994.57,1528.27,39.57,38.24;40.91
1.18,399.01,994.57,1528.27,1.00,0.00;2.00
1.68,399.01,994.57,1528.27,1.98,1.96;2.00
2.18,399.01,994.57,1528.27,1.00,0.00;2.00
2.68,399.01,994.57,1528.27,3.92,3.92;3.92
3.18,399.01,994.57,1528.28,0.00,0.00;0.00
3.68,399.01,994.57,1528.28,2.98,2.04;3.92
4.18,399.01,994.57,1528.28,1.96,3.92;0.00
4.68,399.01,994.57,1528.28,14.00,14.00;14.00
5.18,399.01,994.57,1528.28,1.00,2.00;0.00
5.68,399.01,994.57,1528.28,1.96,0.00;3.92
6.18,399.01,994.57,1528.28,1.96,0.00;3.92
6.68,399.01,994.57,1528.28,3.00,4.00;2.00
7.18,399.01,994.57,1528.28,1.00,0.00;2.00
7.68,399.01,994.57,1528.28,1.02,2.04;0.00
8.18,399.01,994.57,1528.28,3.83,5.66;2.00
8.68,399.01,994.57,1528.28,3.96,4.00;3.92
9.18,399.01,994.57,1528.28,0.00,0.00;0.00
9.68,399.01,994.57,1528.28,1.00,2.00;0.00
10.18,399.01,994.57,1528.28,0.00,0.00;0.00
10.68,399.19,994.39,1528.09,28.00,30.00;26.00
11.18,400.47,993.10,1526.82,61.56,67.35;55.77
11.68,418.22,975.35,1509.07,93.08,94.00;92.16
12.18,418.19,975.38,1509.10,41.04,42.86;39.22
12.68,418.19,975.38,1509.10,2.02,2.04;2.00
13.18,418.19,975.38,1509.10,0.00,0.00;0.00
13.68,418.19,975.38,1509.10,1.96,0.00;3.92
14.18,418.19,975.38,1509.10,2.00,2.00;2.00
14.68,418.19,975.38,1509.10,2.02,2.04;2.00
15.18,418.19,975.38,1509.10,0.98,1.96;0.00
15.68,418.19,975.38,1509.10,3.96,4.00;3.92
16.18,418.19,975.38,1509.10,0.00,0.00;0.00
16.68,418.19,975.38,1509.10,55.68,89.80;21.57
17.18,418.19,975.38,1509.10,56.38,100.00;12.77
17.68,418.19,975.38,1509.10,59.47,98.11;20.83
18.18,418.19,975.38,1509.10,61.18,97.87;24.49
18.68,418.19,975.38,1509.10,63.66,96.08;31.25
19.18,418.19,975.38,1509.10,68.02,95.65;40.38
19.68,418.19,975.38,1509.10,62.24,40.82;83.67
20.18,418.18,975.38,1509.11,60.78,21.57;100.00
20.68,418.18,975.38,1509.11,56.63,15.22;98.04
21.18,418.18,975.38,1509.11,56.29,14.58;98.00
21.68,418.18,975.38,1509.11,23.00,8.00;38.00
22.18,418.18,975.38,1509.11,2.00,2.00;2.00
22.68,418.18,975.38,1509.11,1.00,0.00;2.00
23.18,418.18,975.38,1509.11,1.00,2.00;0.00
23.68,418.18,975.38,1509.11,2.00,2.00;2.00
24.18,418.18,975.38,1509.11,0.00,0.00;0.00
24.68,418.18,975.38,1509.11,2.96,2.00;3.92
25.18,418.18,975.38,1509.11,1.00,2.00;0.00
25.68,418.18,975.38,1509.11,2.02,2.04;2.00
26.18,418.18,975.38,1509.11,1.96,3.92;0.00
26.68,418.18,975.38,1509.11,2.98,3.92;2.04
27.18,418.18,975.38,1509.11,6.04,8.00;4.08
27.68,418.16,975.38,1509.12,15.79,18.37;13.21
28.18,418.16,975.38,1509.12,6.12,12.24;0.00
28.68,418.16,975.38,1509.12,4.96,6.00;3.92
29.18,418.16,975.38,1509.12,0.00,0.00;0.00
29.68,418.16,975.38,1509.12,6.06,6.00;6.12
30.18,418.16,975.38,1509.12,1.00,0.00;2.00
30.68,418.16,975.38,1509.12,1.00,2.00;0.00
31.18,418.16,975.38,1509.12,3.94,5.88;2.00
31.68,418.16,975.38,1509.12,3.88,2.00;5.77
32.18,417.79,975.62,1509.50,46.92,45.83;48.00
32.68,398.10,995.31,1529.19,67.42,64.00;70.83
33.18,399.36,994.05,1527.93,36.59,32.00;41.18
33.68,399.36,994.05,1527.93,2.02,2.04;2.00
34.18,399.36,994.05,1527.93,2.94,3.92;1.96
34.68,399.36,994.05,1527.93,1.02,0.00;2.04
35.18,399.36,994.05,1527.93,0.00,0.00;0.00
35.68,399.36,994.05,1527.93,0.00,0.00;0.00
36.18,399.36,994.05,1527.93,2.98,4.00;1.96
36.68,399.36,994.05,1527.93,1.00,2.00;0.00
37.18,399.36,994.05,1527.93,1.00,0.00;2.00
37.68,399.36,994.05,1527.93,3.88,2.00;5.77
38.18,399.36,994.05,1527.93,0.00,0.00;0.00
38.68,399.36,994.05,1527.93,1.96,3.92;0.00
39.18,399.36,994.05,1527.93,1.00,0.00;2.00
39.68,399.36,994.05,1527.93,2.96,2.00;3.92
40.18,399.36,994.05,1527.93,0.00,0.00;0.00
40.68,399.36,994.05,1527.93,2.96,3.92;2.00
41.18,399.36,994.05,1527.93,1.96,3.92;0.00
41.68,399.36,994.05,1527.93,2.00,1.96;2.04
42.18,399.36,994.05,1527.93,2.00,2.00;2.00
42.68,399.36,994.05,1527.93,1.00,2.00;0.00
43.18,398.82,994.57,1528.46,23.75,22.00;25.49
43.68,399.05,994.34,1528.23,51.62,58.33;44.90
