INTERVAL_SECONDS=0.5,CPU_CORE_COUNT=2,MEMORY_TOTAL=1927.29,SWAP_TOTAL=2048.00,UNIX_TIMESTAMP_START_TIME=1719410909.3703783,APP_VERSION=0.5.1
SECONDS_SINCE_START,MEMORY_USED,MEMORY_FREE,MEMORY_AVAILABLE,CPU_USAGE_TOTAL,CPU_USAGE_PER_CORE
0.19,401.55,992.64,1525.73,0.00,0.00;0.00
0.69,402.27,991.91,1525.02,41.38,37.31;45.45
1.19,402.27,991.91,1525.02,2.00,2.00;2.00
1.69,402.27,991.91,1525.02,4.00,4.00;4.00
2.19,402.27,991.91,1525.02,1.00,0.00;2.00
2.69,402.27,991.91,1525.02,4.00,4.00;4.00
3.19,402.27,991.91,1525.02,1.00,0.00;2.00
3.69,402.27,991.91,1525.02,3.02,4.00;2.04
4.19,402.27,991.91,1525.02,2.00,2.00;2.00
4.69,402.27,991.91,1525.02,2.02,2.04;2.00
5.19,402.27,991.91,1525.02,3.96,3.92;4.00
5.69,402.27,991.91,1525.02,2.96,2.00;3.92
6.19,402.27,991.91,1525.02,2.02,2.00;2.04
6.69,402.27,991.91,1525.02,3.94,5.88;2.00
7.19,402.27,991.91,1525.02,2.00,0.00;4.00
7.69,402.27,991.91,1525.02,3.02,4.00;2.04
8.19,402.27,991.91,1525.02,2.96,2.00;3.92
8.69,402.27,991.91,1525.02,1.02,0.00;2.04
9.19,402.27,991.91,1525.02,3.00,4.00;2.00
9.69,402.27,991.91,1525.02,3.00,2.00;4.00
10.19,402.27,991.91,1525.02,3.88,5.77;2.00
10.69,401.77,992.40,1525.52,25.97,24.49;27.45
11.19,403.25,990.84,1524.04,45.92,40.82;51.02
11.69,420.65,973.39,1506.64,97.02,96.00;98.04
12.19,421.11,972.91,1506.18,76.73,73.47;80.00
12.69,421.11,972.91,1506.18,55.54,96.08;15.00
13.19,421.11,972.91,1506.18,52.84,96.15;9.52
13.69,421.11,972.91,1506.18,51.50,98.00;5.00
14.19,421.11,972.91,1506.18,50.64,96.15;5.13
14.69,421.11,972.91,1506.18,51.92,96.15;7.69
15.19,421.11,972.91,1506.18,52.88,96.23;9.52
15.69,421.11,972.91,1506.18,53.76,98.00;9.52
16.19,421.11,972.91,1506.18,54.20,84.00;24.39
16.69,421.11,972.91,1506.18,51.86,7.50;96.23
17.19,421.11,972.91,1506.18,51.79,7.50;96.08
17.69,421.11,972.91,1506.18,53.78,9.52;98.04
18.19,421.11,972.91,1506.18,52.99,9.76;96.23
18.69,421.11,972.91,1506.18,52.92,9.76;96.08
19.19,421.11,972.91,1506.18,51.77,7.32;96.23
19.69,421.10,972.91,1506.19,53.90,9.76;98.04
20.19,421.10,972.91,1506.19,51.75,7.50;96.00
20.69,421.09,972.91,1506.20,55.39,14.63;96.15
21.19,421.09,972.91,1506.20,52.88,9.52;96.23
21.69,421.09,972.91,1506.20,56.17,40.91;71.43
22.19,421.09,972.91,1506.20,56.61,83.67;29.55
22.69,421.09,972.91,1506.20,57.12,16.28;97.96
23.19,421.09,972.91,1506.20,51.86,7.50;96.23
23.69,421.09,972.91,1506.20,49.28,2.56;96.00
24.19,421.09,972.91,1506.20,54.87,11.63;98.11
24.69,421.33,972.66,1505.96,55.39,14.63;96.15
25.19,421.33,972.66,1505.96,51.74,7.32;96.15
25.69,421.33,972.66,1505.96,49.32,2.56;96.08
26.19,421.33,972.66,1505.96,57.71,31.11;84.31
26.69,421.33,972.66,1505.96,53.95,96.00;11.90
27.19,421.33,972.66,1505.96,53.90,98.04;9.76
27.69,421.33,972.66,1505.96,55.25,84.31;26.19
28.19,421.32,972.66,1505.96,53.27,12.20;94.34
28.69,421.32,972.66,1505.96,56.41,16.67;96.15
29.19,421.32,972.66,1505.96,50.50,5.00;96.00
29.69,421.32,972.66,1505.96,53.80,9.52;98.08
30.19,421.32,972.66,1505.96,51.86,7.50;96.23
30.69,421.32,972.66,1505.96,54.14,12.20;96.08
31.19,421.31,972.66,1505.97,51.70,7.32;96.08
31.69,421.31,972.66,1505.97,55.09,13.95;96.23
32.19,420.54,973.43,1506.74,67.84,39.53;96.15
32.69,421.55,972.42,1505.73,80.52,65.12;95.92
33.19,401.84,992.14,1525.45,94.00,92.00;96.00
33.69,402.11,991.86,1525.17,18.74,16.33;21.15
34.19,402.11,991.86,1525.17,3.00,4.00;2.00
34.69,402.11,991.86,1525.17,2.94,5.88;0.00
35.19,402.11,991.86,1525.17,3.00,2.00;4.00
35.69,402.11,991.86,1525.17,3.00,4.00;2.00
36.19,402.11,991.86,1525.17,1.00,0.00;2.00
36.69,402.11,991.86,1525.17,2.98,3.92;2.04
37.19,402.11,991.86,1525.17,3.02,2.04;4.00
37.69,402.11,991.86,1525.18,3.96,5.88;2.04
38.19,402.11,991.86,1525.18,2.96,2.00;3.92
38.69,402.11,991.86,1525.18,5.77,7.55;4.00
39.19,402.11,991.86,1525.18,1.00,0.00;2.00
39.69,402.11,991.86,1525.18,3.02,4.00;2.04
40.19,402.11,991.86,1525.18,1.96,0.00;3.92
40.69,402.11,991.86,1525.18,2.98,3.92;2.04
41.19,402.11,991.86,1525.18,2.02,2.04;2.00
41.69,402.11,991.86,1525.18,2.02,2.00;2.04
42.19,402.11,991.86,1525.18,4.85,3.92;5.77
42.69,402.11,991.86,1525.18,1.02,0.00;2.04
43.19,402.11,991.86,1525.18,2.96,3.92;2.00
43.69,402.10,991.84,1525.19,30.27,26.53;34.00
44.19,399.57,994.36,1527.72,59.74,72.55;46.94
