INTERVAL_SECONDS=0.5,CPU_CORE_COUNT=2,MEMORY_TOTAL=1927.29,SWAP_TOTAL=2048.00,UNIX_TIMESTAMP_START_TIME=1719415132.458587,APP_VERSION=0.5.1
SECONDS_SINCE_START,MEMORY_USED,MEMORY_FREE,MEMORY_AVAILABLE,CPU_USAGE_TOTAL,CPU_USAGE_PER_CORE
0.19,398.84,993.83,1528.45,0.00,0.00;0.00
0.69,398.84,993.83,1528.45,40.70,45.59;35.82
1.19,398.84,993.83,1528.45,0.00,0.00;0.00
1.69,398.86,993.80,1528.42,2.98,3.92;2.04
2.19,398.86,993.80,1528.42,2.90,1.96;3.85
2.69,398.86,993.80,1528.42,0.00,0.00;0.00
3.19,398.86,993.80,1528.42,0.00,0.00;0.00
3.69,398.86,993.80,1528.42,2.96,3.92;2.00
4.19,398.86,993.80,1528.42,1.96,3.92;0.00
4.69,398.86,993.80,1528.42,1.00,2.00;0.00
5.19,398.86,993.80,1528.42,1.00,2.00;0.00
5.69,398.86,993.80,1528.42,2.00,2.00;2.00
6.19,398.86,993.80,1528.42,2.00,2.00;2.00
6.69,398.86,993.80,1528.43,0.00,0.00;0.00
7.19,398.86,993.80,1528.43,1.98,2.00;1.96
7.69,398.86,993.80,1528.43,3.00,2.00;4.00
8.19,398.86,993.80,1528.43,1.98,1.96;2.00
8.69,398.86,993.80,1528.43,2.06,2.08;2.04
9.19,398.86,993.80,1528.43,2.96,3.92;2.00
9.69,398.85,993.80,1528.43,1.00,2.00;0.00
10.19,398.85,993.80,1528.43,5.08,4.17;6.00
10.69,398.32,994.33,1528.96,26.24,28.00;24.49
11.19,408.17,984.48,1519.12,62.72,68.00;57.45
11.69,411.08,981.52,1516.20,48.91,47.83;50.00
12.19,438.65,953.95,1488.63,40.23,6.00;74.47
12.69,439.14,953.46,1488.14,7.06,8.00;6.12
13.19,439.14,953.46,1488.14,1.00,0.00;2.00
13.69,439.14,953.46,1488.14,4.00,2.00;6.00
14.19,439.14,953.46,1488.14,4.00,6.00;2.00
14.69,439.14,953.46,1488.14,3.96,4.00;3.92
15.19,439.14,953.46,1488.14,0.98,1.96;0.00
15.69,439.14,953.46,1488.14,0.00,0.00;0.00
16.19,446.96,945.64,1480.32,16.70,12.24;21.15
16.69,446.96,945.64,1480.33,66.67,66.00;67.35
17.19,446.96,945.64,1480.33,65.33,66.67;64.00
17.69,446.96,945.64,1480.33,63.37,64.00;62.75
18.19,446.96,945.64,1480.33,62.24,63.27;61.22
18.69,447.20,945.39,1480.09,64.35,64.00;64.71
19.19,447.20,945.39,1480.09,63.99,63.27;64.71
19.69,447.20,945.39,1480.09,64.29,64.58;64.00
20.19,447.20,945.39,1480.09,63.63,64.00;63.27
20.69,447.20,945.39,1480.09,64.29,65.31;63.27
21.19,447.20,945.39,1480.09,64.03,65.31;62.75
21.69,447.20,945.39,1480.09,1.00,2.00;0.00
22.19,447.20,945.39,1480.09,1.96,0.00;3.92
22.69,447.20,945.39,1480.09,1.02,2.04;0.00
23.19,447.20,945.39,1480.09,1.92,3.85;0.00
23.69,447.20,945.39,1480.09,2.02,2.04;2.00
24.19,447.20,945.39,1480.09,1.00,2.00;0.00
24.69,447.20,945.39,1480.09,2.96,3.92;2.00
25.19,447.20,945.39,1480.09,0.00,0.00;0.00
25.69,447.20,945.39,1480.09,2.98,3.92;2.04
26.19,447.20,945.39,1480.09,1.00,0.00;2.00
26.69,447.19,945.39,1480.10,2.00,2.00;2.00
27.19,447.19,945.39,1480.10,1.00,0.00;2.00
27.69,447.19,945.39,1480.10,5.73,7.55;3.92
28.19,447.19,945.39,1480.10,1.00,0.00;2.00
28.69,447.19,945.39,1480.10,1.00,2.00;0.00
29.19,447.19,945.39,1480.10,1.00,0.00;2.00
29.69,447.19,945.39,1480.10,1.00,2.00;0.00
30.19,447.19,945.39,1480.10,2.94,1.96;3.92
30.69,447.19,945.39,1480.10,1.02,2.04;0.00
31.19,447.19,945.39,1480.10,0.98,1.96;0.00
31.69,447.68,944.90,1479.61,23.00,22.00;24.00
32.19,399.69,992.89,1527.59,54.02,61.22;46.81
32.69,399.72,992.86,1527.56,28.21,33.33;23.08
33.19,399.72,992.86,1527.56,1.02,2.04;0.00
33.69,399.72,992.86,1527.56,2.00,2.00;2.00
34.19,399.72,992.86,1527.56,0.98,1.96;0.00
34.69,399.72,992.86,1527.56,2.02,2.04;2.00
35.19,399.72,992.86,1527.56,2.94,1.96;3.92
35.69,399.72,992.86,1527.56,1.96,3.92;0.00
36.19,399.72,992.86,1527.56,2.00,2.00;2.00
36.69,399.72,992.86,1527.56,2.00,2.00;2.00
37.19,399.72,992.86,1527.56,0.00,0.00;0.00
37.69,399.72,992.86,1527.56,2.02,2.04;2.00
38.19,399.72,992.86,1527.56,3.88,3.85;3.92
38.69,399.72,992.86,1527.56,2.00,2.00;2.00
39.19,399.72,992.86,1527.56,0.00,0.00;0.00
39.69,399.72,992.86,1527.56,0.00,0.00;0.00
40.19,399.72,992.86,1527.56,2.00,2.00;2.00
40.69,399.71,992.86,1527.57,4.88,4.00;5.77
41.19,399.71,992.86,1527.57,1.00,2.00;0.00
41.69,399.71,992.86,1527.57,2.00,2.00;2.00
42.19,399.71,992.86,1527.57,0.00,0.00;0.00
42.69,398.91,993.66,1528.38,31.97,33.33;30.61
43.19,399.18,993.37,1528.10,53.55,55.10;52.00
