INTERVAL_SECONDS=0.5,CPU_CORE_COUNT=2,MEMORY_TOTAL=1927.29,SWAP_TOTAL=2048.00,UNIX_TIMESTAMP_START_TIME=1719411014.008135,APP_VERSION=0.5.1
SECONDS_SINCE_START,MEMORY_USED,MEMORY_FREE,MEMORY_AVAILABLE,CPU_USAGE_TOTAL,CPU_USAGE_PER_CORE
0.17,398.62,995.22,1528.66,0.00,0.00;0.00
0.67,399.42,994.42,1527.86,42.19,47.06;37.31
1.17,399.42,994.42,1527.86,1.96,0.00;3.92
1.67,399.42,994.42,1527.86,0.00,0.00;0.00
2.17,399.42,994.42,1527.86,3.88,5.77;2.00
2.67,399.42,994.42,1527.86,2.00,2.00;2.00
3.17,399.42,994.42,1527.87,2.02,2.04;2.00
3.67,399.42,994.42,1527.87,1.02,2.04;0.00
4.17,399.42,994.42,1527.87,2.00,2.00;2.00
4.67,399.42,994.42,1527.87,1.00,2.00;0.00
5.17,399.42,994.42,1527.87,1.96,0.00;3.92
5.67,399.42,994.42,1527.87,2.00,2.00;2.00
6.17,399.42,994.42,1527.87,2.00,2.00;2.00
6.67,399.42,994.42,1527.87,0.00,0.00;0.00
7.17,399.42,994.42,1527.87,5.92,7.84;4.00
7.67,399.42,994.42,1527.87,1.00,2.00;0.00
8.17,399.41,994.42,1527.87,1.00,0.00;2.00
8.67,399.41,994.42,1527.87,2.94,1.96;3.92
9.17,399.41,994.42,1527.88,5.10,10.20;0.00
9.67,399.41,994.42,1527.88,1.00,2.00;0.00
10.17,399.41,994.42,1527.88,2.00,2.00;2.00
10.67,398.88,994.95,1528.40,26.73,27.45;26.00
11.17,415.22,978.61,1512.07,61.78,69.39;54.17
11.67,416.74,977.07,1510.54,37.62,44.00;31.25
12.17,416.74,977.07,1510.54,17.35,4.08;30.61
12.67,416.74,977.07,1510.54,21.00,4.00;38.00
13.17,416.74,977.07,1510.54,25.02,2.04;48.00
13.67,416.74,977.07,1510.54,26.49,4.00;48.98
14.17,416.73,977.07,1510.55,26.04,48.00;4.08
14.67,416.73,977.07,1510.55,27.77,48.00;7.55
15.17,416.73,977.07,1510.55,26.53,48.98;4.08
15.67,416.73,977.07,1510.55,26.24,24.49;28.00
16.17,416.73,977.07,1510.55,26.42,32.00;20.83
16.67,416.73,977.07,1510.55,27.43,48.98;5.88
17.17,416.73,977.07,1510.55,30.22,38.00;22.45
17.67,416.73,977.07,1510.55,23.00,40.00;6.00
18.17,416.73,977.07,1510.55,17.00,34.00;0.00
18.67,416.73,977.07,1510.55,24.92,45.83;4.00
19.17,416.73,977.07,1510.55,27.96,51.92;4.00
19.67,416.73,977.07,1510.55,25.96,47.92;4.00
20.17,416.73,977.07,1510.55,28.43,23.53;33.33
20.67,416.73,977.07,1510.55,24.49,0.00;48.98
21.17,416.73,977.07,1510.56,27.00,22.00;32.00
21.67,416.73,977.07,1510.56,25.51,48.98;2.04
22.17,416.73,977.07,1510.56,26.02,2.04;50.00
22.67,416.73,977.07,1510.56,16.94,5.88;28.00
23.17,416.73,977.07,1510.56,19.39,2.04;36.73
23.67,416.73,977.07,1510.56,26.51,4.00;49.02
24.17,416.73,977.07,1510.56,26.94,5.88;48.00
24.67,416.73,977.07,1510.56,26.02,2.04;50.00
25.17,416.73,977.07,1510.56,23.02,2.04;44.00
25.67,416.73,977.07,1510.56,26.00,2.00;50.00
26.17,416.73,977.07,1510.56,26.00,0.00;52.00
26.67,416.73,977.07,1510.56,26.02,2.04;50.00
27.17,416.73,977.07,1510.56,26.51,2.04;50.98
27.67,416.73,977.07,1510.56,25.92,3.92;47.92
28.17,416.73,977.07,1510.56,25.96,0.00;51.92
28.67,416.73,977.07,1510.56,27.00,4.00;50.00
29.17,416.73,977.07,1510.56,27.02,2.04;52.00
29.67,416.73,977.07,1510.56,27.88,5.77;50.00
30.17,416.73,977.07,1510.56,24.49,2.04;46.94
30.67,416.73,977.07,1510.56,24.49,0.00;48.98
31.17,416.72,977.07,1510.57,26.53,2.04;51.02
31.67,416.77,976.89,1510.51,41.18,23.53;58.82
32.17,399.60,994.05,1527.69,55.17,58.33;52.00
32.67,400.12,993.53,1527.16,28.57,28.57;28.57
33.17,400.12,993.53,1527.16,0.00,0.00;0.00
33.67,400.12,993.53,1527.16,1.00,0.00;2.00
34.17,400.12,993.53,1527.16,1.96,3.92;0.00
34.67,400.12,993.53,1527.16,1.92,0.00;3.85
35.17,400.12,993.53,1527.16,1.00,2.00;0.00
35.67,400.12,993.53,1527.16,1.00,0.00;2.00
36.17,400.12,993.53,1527.16,2.00,2.00;2.00
36.67,400.12,993.53,1527.16,1.00,2.00;0.00
37.17,400.12,993.53,1527.16,2.94,0.00;5.88
37.67,400.12,993.53,1527.16,0.98,1.96;0.00
38.17,400.12,993.53,1527.16,2.00,2.00;2.00
38.67,400.12,993.53,1527.16,2.00,2.00;2.00
39.17,400.12,993.53,1527.16,1.00,2.00;0.00
39.67,400.12,993.53,1527.16,0.00,0.00;0.00
40.17,400.12,993.53,1527.16,1.96,3.92;0.00
40.67,400.12,993.53,1527.16,0.98,1.96;0.00
41.17,400.12,993.53,1527.16,2.96,2.00;3.92
41.67,400.12,993.53,1527.16,3.06,4.08;2.04
42.17,400.11,993.53,1527.18,1.96,3.92;0.00
42.67,399.10,994.54,1528.19,24.51,27.45;21.57
43.17,399.09,994.55,1528.20,53.70,59.57;47.83
